Date,Price,Open,High,Low,Vol.,Change %
2021-11-26,0.9385,1.0428,1.0464,0.923,1.15B,-9.99%
2021-11-27,0.9455,0.9385,0.9649,0.934,443.48,0.74%
2021-11-28,0.969,0.9453,0.969,0.8902,643.46,2.49%
2021-11-29,0.9895,0.9689,1.0015,0.9632,598.77,2.11%
2021-11-30,0.9976,0.9895,1.0297,0.9712,653.91,0.82%
2021-12-01,0.9896,0.9984,1.0172,0.9804,478.61,-0.81%
2021-12-02,0.9722,0.9895,0.99,0.9565,429.13,-1.76%
2021-12-03,0.9213,0.9719,0.9833,0.8967,582.44,-5.23%
2021-12-04,0.847,0.9213,0.9244,0.6207,2.19B,-8.07%
2021-12-05,0.8041,0.8453,0.8593,0.7789,963.26,-5.07%
2021-12-06,0.8267,0.8042,0.8298,0.7504,974.49,2.81%
2021-12-07,0.8154,0.8264,0.8441,0.8049,635.49,-1.37%
2021-12-08,0.8615,0.8153,0.883,0.8049,811.57,5.65%
2021-12-09,0.8581,0.8617,0.933,0.8329,1.26B,-0.39%
2021-12-10,0.7992,0.8579,0.882,0.7953,957.23,-6.87%
2021-12-11,0.8372,0.8,0.8434,0.7864,561.08,4.76%
2021-12-12,0.8399,0.8377,0.8563,0.8096,441.73,0.32%
2021-12-13,0.7818,0.8397,0.8439,0.7612,701.25,-6.92%
2021-12-14,0.8108,0.7818,0.8205,0.7736,753.47,3.71%
2021-12-15,0.8263,0.8103,0.8395,0.7778,748.92,1.92%
2021-12-16,0.8052,0.8262,0.8362,0.8035,410.59,-2.56%
2021-12-17,0.7975,0.8054,0.8306,0.7767,508.54,-0.96%
2021-12-18,0.8264,0.7975,0.8341,0.7912,333.85,3.63%
2021-12-19,0.8351,0.8264,0.8479,0.8197,326.03,1.05%
2021-12-20,0.8786,0.8351,0.9136,0.825,1.05B,5.21%
2021-12-21,0.9469,0.8796,0.9604,0.8531,888.15,7.78%
2021-12-22,0.9538,0.9468,0.9723,0.9243,772.54,0.73%
2021-12-23,0.994,0.9537,1.0161,0.9387,967,4.21%
2021-12-24,0.9106,0.9939,0.9959,0.8938,998.32,-8.39%
2021-12-25,0.9252,0.9106,0.9334,0.8992,464.59,1.61%
2021-12-26,0.9198,0.9252,0.9331,0.9057,313.23,-0.59%
2021-12-27,0.9262,0.9197,0.955,0.9152,442.48,0.70%
2021-12-28,0.8511,0.9266,0.9268,0.8457,604.16,-8.11%
2021-12-29,0.8165,0.8516,0.8644,0.8118,574.42,-4.07%
2021-12-30,0.8387,0.8168,0.8586,0.8042,502.92,2.72%
2021-12-31,0.8299,0.8387,0.8535,0.8029,457.62,-1.04%
2022-01-01,0.85,0.8301,0.8548,0.8255,266.53,2.42%
2022-01-02,0.8587,0.85,0.8638,0.8374,254.07,1.02%
2022-01-03,0.8317,0.8587,0.8587,0.822,363.28,-3.14%
2022-01-04,0.8229,0.8318,0.8449,0.8172,395.68,-1.07%
2022-01-05,0.7712,0.8227,0.8366,0.7155,631.16,-6.27%
2022-01-06,0.7796,0.7714,0.7905,0.74,584.96,1.08%
2022-01-07,0.7626,0.779,0.7806,0.73,688.04,-2.18%
2022-01-08,0.7447,0.7627,0.7762,0.7232,471.11,-2.35%
2022-01-09,0.7528,0.7448,0.7665,0.7384,307.32,1.09%
2022-01-10,0.7401,0.7529,0.7589,0.7006,566.01,-1.69%
2022-01-11,0.7699,0.7401,0.7745,0.7308,495.85,4.02%
2022-01-12,0.7979,0.7699,0.8068,0.7576,543.02,3.64%
2022-01-13,0.7672,0.7981,0.8021,0.7609,422.74,-3.84%
2022-01-14,0.7732,0.7675,0.7901,0.7528,410.72,0.78%
2022-01-15,0.7793,0.7731,0.7892,0.7684,265.12,0.79%
2022-01-16,0.7784,0.7792,0.7842,0.7685,241.76,-0.12%
2022-01-17,0.7615,0.7784,0.7802,0.7506,353.39,-2.18%
2022-01-18,0.7514,0.7617,0.7684,0.7357,381.76,-1.33%
2022-01-19,0.738,0.7509,0.7532,0.7241,394.07,-1.78%
2022-01-20,0.7204,0.7382,0.7619,0.7165,398.8,-2.38%
2022-01-21,0.6373,0.7202,0.7283,0.6133,1.14B,-11.54%
2022-01-22,0.5967,0.6372,0.6528,0.552,1.45B,-6.37%
2022-01-23,0.6287,0.5968,0.6349,0.5903,658.65,5.36%
2022-01-24,0.6121,0.6287,0.6287,0.555,1.03B,-2.65%
2022-01-25,0.6176,0.612,0.6227,0.5866,639.44,0.90%
2022-01-26,0.619,0.6178,0.6575,0.6052,895.25,0.22%
2022-01-27,0.6084,0.619,0.624,0.5896,582.23,-1.71%
2022-01-28,0.6113,0.6089,0.6136,0.592,459.46,0.48%
2022-01-29,0.6174,0.6113,0.6247,0.6091,301.82,1.00%
2022-01-30,0.6015,0.6175,0.6229,0.5975,297.09,-2.58%
2022-01-31,0.6175,0.6015,0.6239,0.581,441.21,2.66%
2022-02-01,0.6282,0.6176,0.6307,0.6112,357.98,1.75%
2022-02-02,0.6008,0.6282,0.6311,0.596,379.99,-4.36%
2022-02-03,0.6096,0.6009,0.6096,0.5894,349.86,1.46%
2022-02-04,0.6556,0.6096,0.6582,0.6045,523.14,7.55%
2022-02-05,0.6662,0.6556,0.6861,0.6502,581.98,1.61%
2022-02-06,0.6827,0.6662,0.6866,0.6605,311.39,2.48%
2022-02-07,0.8312,0.6827,0.8382,0.6717,1.20B,21.74%
2022-02-08,0.8762,0.8315,0.9126,0.8037,1.92B,5.42%
2022-02-09,0.8698,0.8762,0.9125,0.8443,1.17B,-0.73%
2022-02-10,0.8255,0.8696,0.8955,0.8238,961.48,-5.09%
2022-02-11,0.759,0.8254,0.8331,0.7502,923.55,-8.06%
2022-02-12,0.8217,0.7591,0.8504,0.7473,934.29,8.27%
2022-02-13,0.8054,0.822,0.8465,0.7928,699.44,-1.98%
2022-02-14,0.8008,0.8056,0.8119,0.7803,622.89,-0.58%
2022-02-15,0.8508,0.8008,0.8589,0.7963,555.15,6.25%
2022-02-16,0.8358,0.851,0.8525,0.8091,520.13,-1.76%
2022-02-17,0.7668,0.8369,0.8445,0.7549,748.4,-8.26%
2022-02-18,0.7847,0.7674,0.8045,0.7568,815.44,2.34%
2022-02-19,0.8216,0.7847,0.8535,0.7706,940.73,4.71%
2022-02-20,0.7756,0.8217,0.8227,0.7663,968.87,-5.60%
2022-02-21,0.7016,0.7758,0.8004,0.6967,1.16B,-9.54%
2022-02-22,0.7212,0.7019,0.7264,0.675,1.18B,2.79%
2022-02-23,0.696,0.721,0.7437,0.6928,868.99,-3.49%
2022-02-24,0.696,0.6962,0.7184,0.6225,1.84B,0.00%
2022-02-25,0.7693,0.696,0.7759,0.6852,983.37,10.53%
2022-02-26,0.7504,0.7692,0.7906,0.7408,909.28,-2.45%
2022-02-27,0.7214,0.7504,0.7667,0.7042,865.45,-3.86%
2022-02-28,0.7813,0.7214,0.7926,0.7089,855.06,8.29%
2022-03-01,0.7838,0.7813,0.8032,0.7583,738.57,0.33%
2022-03-02,0.7688,0.7839,0.7841,0.7566,711.25,-1.91%
2022-03-03,0.7518,0.7687,0.7886,0.7352,631.18,-2.22%
2022-03-04,0.7128,0.7516,0.7536,0.6976,618.13,-5.19%
2022-03-05,0.7539,0.7128,0.7684,0.7051,573.88,5.77%
2022-03-06,0.7247,0.7539,0.7584,0.7223,496.78,-3.87%
2022-03-07,0.7201,0.7248,0.7535,0.7041,793.88,-0.64%
2022-03-08,0.7208,0.7201,0.7304,0.7139,480.81,0.09%
2022-03-09,0.7657,0.7208,0.7727,0.7202,628.03,6.23%
2022-03-10,0.7361,0.7657,0.7784,0.7241,648.28,-3.87%
2022-03-11,0.8031,0.7361,0.8128,0.7254,843.02,9.11%
2022-03-12,0.7858,0.803,0.8488,0.7788,976.91,-2.15%
2022-03-13,0.7594,0.7859,0.8047,0.7532,496.63,-3.36%
2022-03-14,0.7746,0.7594,0.7796,0.7457,514.38,1.99%
2022-03-15,0.7659,0.7745,0.7761,0.7422,407.33,-1.12%
2022-03-16,0.7919,0.7659,0.7943,0.7582,560.47,3.40%
2022-03-17,0.7933,0.792,0.8012,0.7833,436.9,0.18%
2022-03-18,0.7966,0.7937,0.8005,0.777,362.68,0.42%
2022-03-19,0.8197,0.7965,0.8265,0.7918,467.54,2.90%
2022-03-20,0.8061,0.8196,0.8217,0.7965,344.78,-1.66%
2022-03-21,0.8374,0.806,0.8543,0.7888,584.25,3.88%
2022-03-22,0.8366,0.8373,0.8649,0.828,554.92,-0.09%
2022-03-23,0.8376,0.8366,0.8456,0.8188,449.85,0.13%
2022-03-24,0.8428,0.8376,0.8496,0.8274,515.91,0.61%
2022-03-25,0.8241,0.8427,0.8455,0.8208,385.53,-2.22%
2022-03-26,0.8329,0.8241,0.8349,0.8207,219.77,1.07%
2022-03-27,0.8577,0.8329,0.858,0.8287,346.34,2.99%
2022-03-28,0.8628,0.8579,0.9113,0.8535,820.3,0.59%
2022-03-29,0.8577,0.8629,0.8854,0.8436,484.88,-0.59%
2022-03-30,0.8613,0.8577,0.8716,0.8466,392.68,0.42%
2022-03-31,0.815,0.8614,0.8726,0.7982,630.62,-5.38%
2022-04-01,0.8277,0.815,0.8339,0.8075,472.97,1.56%
2022-04-02,0.8237,0.8277,0.8497,0.8203,385.67,-0.49%
2022-04-03,0.8431,0.8239,0.8498,0.8152,294.49,2.36%
2022-04-04,0.8265,0.843,0.8432,0.8065,399.05,-1.97%
2022-04-05,0.8164,0.8264,0.8361,0.8148,316.93,-1.21%
2022-04-06,0.7596,0.8164,0.8185,0.7586,610.29,-6.96%
2022-04-07,0.7876,0.7596,0.7908,0.753,372.84,3.68%
2022-04-08,0.7552,0.7873,0.7934,0.747,406.46,-4.11%
2022-04-09,0.7622,0.7551,0.7663,0.7534,197.11,0.93%
2022-04-10,0.7542,0.7622,0.7725,0.7529,234.62,-1.05%
2022-04-11,0.6946,0.7542,0.7555,0.6841,648.89,-7.91%
2022-04-12,0.7146,0.6946,0.7251,0.6925,500.45,2.88%
2022-04-13,0.7228,0.7151,0.725,0.702,433.36,1.14%
2022-04-14,0.7263,0.7229,0.7406,0.709,462.78,0.49%
2022-04-15,0.7856,0.7262,0.7956,0.7262,812.68,8.17%
2022-04-16,0.781,0.7857,0.7988,0.7662,439.79,-0.58%
2022-04-17,0.7519,0.781,0.7858,0.7483,422.3,-3.73%
2022-04-18,0.7692,0.7519,0.7694,0.7282,596.69,2.30%
2022-04-19,0.7748,0.7696,0.7815,0.7591,567.78,0.73%
2022-04-20,0.7516,0.7748,0.7751,0.7425,493.23,-2.99%
2022-04-21,0.7328,0.7516,0.7673,0.7205,500.74,-2.51%
2022-04-22,0.7178,0.7328,0.7386,0.7149,461.04,-2.05%
2022-04-23,0.7055,0.7178,0.7263,0.7031,348.93,-1.72%
2022-04-24,0.6983,0.7055,0.7117,0.6957,229.18,-1.01%
2022-04-25,0.6931,0.6983,0.6993,0.6463,647.88,-0.75%
2022-04-26,0.6424,0.6931,0.7056,0.6291,634.35,-7.31%
2022-04-27,0.6521,0.6423,0.6622,0.637,496.81,1.51%
2022-04-28,0.6428,0.6521,0.6568,0.6345,450.14,-1.43%
2022-04-29,0.6115,0.6428,0.6469,0.601,582.82,-4.86%
2022-04-30,0.5852,0.6115,0.6282,0.5713,572.63,-4.30%
2022-05-01,0.607,0.5852,0.6124,0.5776,484.63,3.72%
2022-05-02,0.6144,0.607,0.6304,0.5986,565.44,1.21%
2022-05-03,0.6046,0.6144,0.6273,0.5962,486.44,-1.59%
2022-05-04,0.6461,0.6046,0.6493,0.6042,603.13,6.86%
2022-05-05,0.5981,0.6461,0.6567,0.5895,737.32,-7.43%
2022-05-06,0.6022,0.5981,0.6157,0.5882,627.49,0.69%
2022-05-07,0.5807,0.6022,0.6043,0.5697,410.71,-3.56%
2022-05-08,0.5662,0.5807,0.5829,0.5585,559.53,-2.51%
2022-05-09,0.4877,0.5662,0.5785,0.4751,1.35B,-13.87%
2022-05-10,0.5132,0.4873,0.5363,0.4734,1.51B,5.24%
2022-05-11,0.4157,0.5133,0.523,0.3655,2.58B,-19.00%
2022-05-12,0.3849,0.4158,0.4288,0.3366,2.43B,-7.41%
2022-05-13,0.4228,0.3849,0.4632,0.3809,1.18B,9.85%
2022-05-14,0.4261,0.4228,0.4407,0.3966,808.36,0.77%
2022-05-15,0.4479,0.4261,0.4495,0.4154,485.87,5.13%
2022-05-16,0.423,0.448,0.448,0.4095,768.3,-5.58%
2022-05-17,0.4379,0.423,0.4402,0.4173,674.39,3.53%
2022-05-18,0.4052,0.4379,0.4425,0.4047,667.12,-7.46%
2022-05-19,0.4203,0.4052,0.4239,0.392,507.82,3.71%
2022-05-20,0.4102,0.4203,0.4396,0.4018,619.25,-2.39%
2022-05-21,0.4145,0.4102,0.4179,0.4037,251,1.04%
2022-05-22,0.4218,0.4145,0.425,0.4104,268.32,1.76%
2022-05-23,0.4051,0.4218,0.4285,0.4005,443.63,-3.96%
2022-05-24,0.4086,0.4052,0.4135,0.3908,439.11,0.86%
2022-05-25,0.4062,0.4086,0.4133,0.3958,584.59,-0.58%
2022-05-26,0.3927,0.4062,0.4109,0.3771,862.26,-3.33%
2022-05-27,0.3815,0.3926,0.4028,0.3766,792.88,-2.84%
2022-05-28,0.3864,0.3815,0.3887,0.3807,333.92,1.28%
2022-05-29,0.3891,0.3863,0.39,0.3794,279.3,0.71%
2022-05-30,0.4186,0.3891,0.4196,0.387,552.42,7.58%
2022-05-31,0.4216,0.4186,0.4334,0.4069,634,0.71%
2022-06-01,0.398,0.4216,0.4262,0.3899,671.55,-5.58%
2022-06-02,0.4054,0.398,0.407,0.391,558.63,1.86%
2022-06-03,0.3904,0.4055,0.4103,0.3843,473.68,-3.72%
