Date,Price,Open,High,Low,Vol.,Change
2021-01-21,1117.33,1377.63,1387.39,1095.26,2.76,-0.19
2021-01-22,1234.58,1118.01,1272.85,1045.02,2.94,0.1
2021-01-23,1233.4,1234.34,1271.65,1196.94,1.46,0
2021-01-24,1390.28,1233.41,1398,1222.14,2.3,0.13
2021-01-25,1317.9,1390.69,1474.68,1298.13,2.77,-0.05
2021-01-26,1366.27,1317.67,1377.94,1246.45,2.56,0.04
2021-01-27,1247.62,1366.14,1372.31,1210.4,2.9,-0.09
2021-01-28,1328.47,1247.67,1359.51,1221.15,814.31,0.06
2021-01-29,1379.3,1329.16,1436.27,1288.26,3.33,0.04
2021-01-30,1376.96,1379.78,1405.78,1327.66,1.59,0
2021-01-31,1312.73,1377.05,1380.04,1282.41,1.54,-0.05
2021-02-01,1373.4,1312.69,1376.44,1272.09,1.65,0.05
2021-02-02,1511.36,1373.31,1546.88,1361.63,2.73,0.1
2021-02-03,1664.34,1511.96,1667.93,1510.27,2.27,0.1
2021-02-04,1594,1664.19,1693.64,1570.45,2.34,-0.04
2021-02-05,1719.2,1593.91,1760.09,1589.28,1.8,0.08
2021-02-06,1676.63,1719.11,1742.9,1648.03,1.78,-0.02
2021-02-07,1612.99,1676.62,1692.29,1491.68,1.94,-0.04
2021-02-08,1750.18,1612.98,1775.12,1566.43,2.17,0.09
2021-02-09,1770.63,1750.19,1818.94,1711.4,1.94,0.01
2021-02-10,1742.09,1770.81,1835.4,1683.52,2.01,-0.02
2021-02-11,1786.35,1742.11,1817.68,1704.97,1.56,0.03
2021-02-12,1841.02,1786.74,1862.17,1741.04,1.75,0.03
2021-02-13,1815.49,1840.9,1871.36,1766.05,1.44,-0.01
2021-02-14,1801.78,1815.44,1850,1787.11,1.43,-0.01
2021-02-15,1778.82,1800.6,1835.51,1661.09,1.94,-0.01
2021-02-16,1781.69,1778.63,1827.07,1726.78,1.48,0
2021-02-17,1847.95,1781.44,1854.03,1734.15,1.69,0.04
2021-02-18,1934.16,1849.95,1950.04,1849.05,881.87,0.05
2021-02-19,1955.59,1934.17,1968.93,1892.7,1.78,0.01
2021-02-20,1913.88,1955.54,2040.79,1800,2.29,-0.02
2021-02-21,1933.45,1912.97,1974.99,1885.7,1.47,0.01
2021-02-22,1777.28,1933.52,1935.04,1561.68,2.68,-0.08
2021-02-23,1578.11,1777.25,1781.44,1370.45,3.6,-0.11
2021-02-24,1623.71,1578.27,1711.16,1505.79,2.19,0.03
2021-02-25,1476.15,1623.76,1669.24,1460.92,1.75,-0.09
2021-02-26,1445.44,1476.77,1561.66,1403.3,2.13,-0.02
2021-02-27,1458.93,1445.69,1527.69,1427.15,1.56,0.01
2021-02-28,1418.76,1458.84,1467.76,1294.79,2.07,-0.03
2021-03-01,1570.03,1418.91,1571.15,1411.55,1.92,0.11
2021-03-02,1488.62,1570,1602.13,1457.22,1.74,-0.05
2021-03-03,1571.05,1488.8,1653.04,1477.72,1.17,0.06
2021-03-04,1538.61,1567.84,1623.73,1506.86,1.7,-0.02
2021-03-05,1530.29,1539.73,1548.71,1443.32,1.67,-0.01
2021-03-06,1649.19,1530.24,1670.01,1514.62,2.07,0.08
2021-03-07,1728.1,1650.94,1732.84,1634.73,1.69,0.05
2021-03-08,1831.49,1727.17,1841.05,1665.54,1.97,0.06
2021-03-09,1869.1,1831.57,1869.1,1801.29,1.58,0.02
2021-03-10,1794.14,1869.32,1875.98,1759.5,1.66,-0.04
2021-03-11,1825.79,1794.28,1845.32,1729.05,1.58,0.02
2021-03-12,1766.9,1827.44,1841.19,1723.18,1.52,-0.03
2021-03-13,1921.13,1767.05,1943.36,1730.46,1.79,0.09
2021-03-14,1849.06,1921.29,1932.36,1836.78,671.56,-0.04
2021-03-15,1792.38,1848.18,1890.59,1745.04,1.7,-0.03
2021-03-16,1804.85,1792.08,1817.35,1715.97,1.81,0.01
2021-03-17,1823.35,1804.56,1837.88,1743.62,1.5,0.01
2021-03-18,1776.08,1823.72,1849.23,1760.83,1.53,-0.03
2021-03-19,1809.64,1775.87,1848.88,1735.42,1.2,0.02
2021-03-20,1804.6,1809.09,1868.09,1801.6,27.03,0
2021-03-21,1783.72,1804.6,1815.85,1748.47,1.43,-0.01
2021-03-22,1682.37,1783.58,1806.62,1659.28,1.58,-0.06
2021-03-23,1667.9,1681.5,1720.01,1654.14,1.46,-0.01
2021-03-24,1582.38,1668.42,1739.82,1546.48,1.88,-0.05
2021-03-25,1586.54,1582.23,1621.32,1550.11,1.54,0
2021-03-26,1698.6,1586.36,1699.27,1586.28,1.64,0.07
2021-03-27,1713.01,1698.68,1731.73,1667.12,1.4,0.01
2021-03-28,1686.8,1712.89,1724.74,1661.92,1.31,-0.02
2021-03-29,1816.69,1686.88,1839.41,1678.38,1.94,0.08
2021-03-30,1841.01,1816.92,1857.65,1788.6,3.03,0.01
2021-03-31,1917.99,1841.01,1945.4,1774.66,2.59,0.04
2021-04-01,1967.96,1918.82,1983.84,1897.38,2.08,0.03
2021-04-02,2134.55,1968.12,2144.11,1949.99,2.47,0.08
2021-04-03,2008.59,2134.66,2137.68,2004.4,2.01,-0.06
